address,type_object,type_permit,number_permit,date_permit,latitude_1,longitude_1,latitude_2,longitude_2
"пер. Виражный,13","индивидуальный одноквартирный жилой дом с количеством этажей  - три","На строительство",RU61310002-6,13.02.2014,47.2122493038275,39.6951190078694,"420688,2753","2202523,292"
"пр-кт Стачки, 71","4-х этажное административное здание с подземной парковкой","На строительство",61-310-893001-2016,21.10.2016,47.2109864812477,39.6638433447571,"420587,4662","2200151,699"
"пр-кт Стачки, 71","4-х этажное административное здание с подземной парковкой","На строительство",61-310-893001-2016,21.10.2016,47.2109864812477,39.6638433447571,"420587,4662","2200151,699"
"пр-кт. Стачки, 65","Офисное здание с магазином","На строительство",61-310-889302-2017,02.02.2017,47.2109553676962,39.6645557917161,"420583,0949","2200205,612"
"пр-кт. Стачки, 65","Офисное здание с магазином","На строительство",61-310-889302-2017,02.02.2017,47.2109553676962,39.6645557917161,"420583,0949","2200205,612"
"пр-кт.Стачки, 51/2","одноквартирный жилой дом, этажностью-два","На строительство",RU61310000-67,16.09.2015,47.2109371026141,39.6661528416435,"420579,0212","2200326,561"
"ул. Кочубея, 36","одноквартирный жилой дом этажностьб - два","На строительство",RU61310002-50,17.11.2014,47.2038099090707,39.6728346794669,"419778,1507","2200819,438"
"ул. Днепростроевская, 91","индивидуальный одноквартирный жилой дом с количеством этажей  -  один","На строительство",RU61310002-18,30.04.2014,47.2045548862455,39.6715769848568,"419862,5724","2200725,54"
"ул. 2-я Володарского, 105","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-51,16.07.2015,47.2056619435732,39.6699278343459,"419987,7481","2200602,666"
"ул. Горбачева, 60","одноквартирный жилой дом с количеством этажей-два","На строительство",RU61310002-28,11.07.2014,47.2074412539805,39.6686830485586,"420187,1464","2200511,69"
"ул. Батуринская, 24","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-30",21.04.2017,47.2088135698793,39.6678158802462,"420340,8174","2200448,565"
"ул. Днепростроевская, 76","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство",RU61310000-90,24.12.2015,47.2063575748732,39.6755463809734,"420057,9355","2201029,635"
"ул. Артемовская, 20","одноквартирный жилой дом с количеством этажей - два","На строительство",RU61310002-29,18.07.2014,47.2064871617493,39.6733964998265,"420075,0734","2200866,999"
"ул. 1-я Володарского, 11","Индивидуальный, одноквартирный , двухэтажный жилой дом","На строительство","RU 61310000-32",02.05.2017,47.207664506587,39.6735697919152,"420205,7417","2200882,324"
"ул. 1-я Володарского, 3","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-52",23.12.2016,47.2080533542887,39.6747495064084,"420247,4718","2200972,423"
"ул. Курортная, 16","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-27",14.04.2017,47.2093291719583,39.6719408263692,"420392,8793","2200762,025"
"ул. Днепростроевская, 47е","одноквартирный жилой дом с количеством этажей  -  три","На строительство",RU61310002-30,31.07.2014,47.2057917632355,39.6784430626239,"419991,3597","2201248,039"
"ул. Гастелло, 34а","одноквартирный жилой дом, этажностью - два","На строительство",RU61310000-8,27.02.2015,47.2098784560793,39.6794719806947,"420444,3857","2201333,582"
,"Индивидуальный, одноквартирный, одноэтажный жилой дом","На строительство",RU61310000-12,14.03.2017,47.2099653277747,39.6815059527903,"420451,4712","2201487,829"
"2-я Володарского ул., 5а","индивидуальный одноквартирный трехэтажный жилой дом","На строительство",RU61310000-9,20.02.2017,47.2095834781289,39.6821874799945,"420408,159","2201538,751"
"ул. Загорская, 18","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-51",21.12.2016,47.2088740257954,39.6880128496785,"420321,9464","2201978,752"
"пер. Зеркальный, 7","Многоквартирный жилой дом","На строительство",61-310-896901-2016,29.11.2016,47.2115369480976,39.693921631264,"420610,5786","2202431,279"
"пер. Зеркальный, 7","Подземная насосная","На строительство",61-310-896901-2016,29.11.2016,47.2115369480976,39.693921631264,"420610,5786","2202431,279"
"пл. Стачки 1902 года, 3","Автомойка - I этап строительства","На строительство",61-310-901701-2017,20.01.2017,47.2127324070969,39.694069229518,"420743,2965","2202444,655"
"ул. Волгодонская, 18","Индивидуальный одноквартирный двухэтажный жилой дом","На строительство",RU61310000-52,22.07.2015,47.2093034824733,39.6482856766337,"420420,4061","2198969,935"
"ул. 2-я Круговая, 3, Плеханова, 110/5","Многоквартирный жилой дом с помещениями общественного назначения и подземной автостоянкой","На строительство",61-310-907801-2017,24.05.2017,47.2112478100168,39.6527976022743,"420630,7252","2199315,429"
"ул. Плеханова, 55","Офисное здание","На строительство",61-310-887301-2016,12.07.2016,47.2106743851417,39.6539786210891,"420565,4514","2199403,811"
"ул. Свердловская, 94","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-26,24.08.2016,47.2055522943202,39.6546548558385,"419995,1427","2199445,345"
"ул. Батуринская, 98","индивидуальный одноквартирный жилой дом с количеством этажей- один","На строительство",RU61310002-5,13.02.2014,47.2046518636909,39.6548153711485,"419894,8325","2199455,802"
"ул. Коминтерна, 8/21","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-37,02.11.2016,47.2105009125492,39.6591378981377,"420539,5216","2199794,324"
"ул. Коминтерна, 8/21","индивидуальный, одноквартирный. двухэтажный жилой дом","На строительство",RU61310000-38,02.11.2016,47.2105009125492,39.6591378981377,"420539,5216","2199794,324"
"ул. Свердловская, 74","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-81",09.11.2015,47.206435048741,39.6575828066035,"420089,5087","2199668,84"
"ул. Свердловская, 74","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-82",11.11.2015,47.206435048741,39.6575828066035,"420089,5087","2199668,84"
"пр-кт. Стачки, 87","индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство","RU 61310000-54",03.08.2015,47.2110893231655,39.6616137123209,"420601,7575","2199982,988"
"1-я Краснодарская ул., 1б","Магазин продовольственных товаров","На реконструкцию",RU61310000-8068-1,23.07.2013,47.2100147870768,39.6623263782713,"420481,3843","2200034,954"
"ул. Доброхимовская, 14","одноквартирный жилой дом этажностью - два","На строительство",RU61310002-48,17.11.2014,47.2088284979546,39.6605824013131,"420351,7391","2199900,602"
"ул. Батуринская, 66","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-39,02.11.2016,47.2068430869917,39.6617061306189,"420129,5735","2199981,995"
"ул. Батуринская, 58а","Индивидуальный, одноквартирный, одноэтажный жилой дом","На строительство","RU 61310000-23",05.08.2016,47.2071257261151,39.6626072234487,"420159,8396","2200050,794"
